idRestricaoOperativaUHE;idElementoSistema;tipo_elemento;unidadehidraulica;conjuntohidraulico;hidreletrica;termeletrica;unidadeTermeletrica;contrato;intercambio;eolica;usina_elevatoria;tipoVariavelRestricaoOperativa
162;1;hidreletrica;Nenhum;Nenhum;4;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
162;2;hidreletrica;Nenhum;Nenhum;5;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
163;1;hidreletrica;Nenhum;Nenhum;28;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
164;1;hidreletrica;Nenhum;Nenhum;146;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
165;1;hidreletrica;Nenhum;Nenhum;84;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_defluente
166;1;hidreletrica;Nenhum;Nenhum;24;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_defluente
167;1;hidreletrica;Nenhum;Nenhum;83;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_defluente
168;1;hidreletrica;Nenhum;Nenhum;96;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
169;1;hidreletrica;Nenhum;Nenhum;15;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
170;1;hidreletrica;Nenhum;Nenhum;144;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_defluente
171;1;hidreletrica;Nenhum;Nenhum;20;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
172;1;hidreletrica;Nenhum;Nenhum;34;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_desviada
173;1;hidreletrica;Nenhum;Nenhum;139;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
174;1;hidreletrica;Nenhum;Nenhum;124;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
175;1;hidreletrica;Nenhum;Nenhum;23;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
176;1;hidreletrica;Nenhum;Nenhum;134;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
177;1;hidreletrica;Nenhum;Nenhum;60;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;volume_util
178;1;hidreletrica;Nenhum;Nenhum;38;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
179;1;hidreletrica;Nenhum;Nenhum;118;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_defluente
180;1;hidreletrica;Nenhum;Nenhum;79;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;vazao_turbinada
