idSubmercado;idUsinaNaoSimulada;AttMatriz;Iteradores;1;2;3
4;1;potencia_minima;11/2023;615.7465;638.0554999999999;641.8556
4;1;potencia_maxima;11/2023;615.7465;638.0554999999999;641.8556
1;1;potencia_minima;12/2023;6187.4856;4600.253;4851.6613
1;1;potencia_maxima;12/2023;6187.4856;4600.253;4851.6613
2;1;potencia_minima;12/2023;1873.4888999999998;1978.0933000000002;1914.2929000000001
2;1;potencia_maxima;12/2023;1873.4888999999998;1978.0933000000002;1914.2929000000001
3;1;potencia_minima;12/2023;11617.1683;11554.2947;11374.9411
3;1;potencia_maxima;12/2023;11617.1683;11554.2947;11374.9411
4;1;potencia_minima;12/2023;586.0639;610.9699;605.8883
4;1;potencia_maxima;12/2023;586.0639;610.9699;605.8883
1;1;potencia_minima;01/2024;5738.525799999999;3990.5966000000003;4213.6892
1;1;potencia_maxima;01/2024;5738.525799999999;3990.5966000000003;4213.6892
2;1;potencia_minima;01/2024;2079.6716;2186.8146;2089.7627
2;1;potencia_maxima;01/2024;2079.6716;2186.8146;2089.7627
3;1;potencia_minima;01/2024;11134.472300000001;11044.314600000002;10942.580899999999
3;1;potencia_maxima;01/2024;11134.472300000001;11044.314600000002;10942.580899999999
4;1;potencia_minima;01/2024;513.5443;508.6482;498.5991
4;1;potencia_maxima;01/2024;513.5443;508.6482;498.5991
1;1;potencia_minima;02/2024;5829.9667;4266.5441;4463.0638
1;1;potencia_maxima;02/2024;5829.9667;4266.5441;4463.0638
2;1;potencia_minima;02/2024;1953.2299;2024.1135;1879.228
2;1;potencia_maxima;02/2024;1953.2299;2024.1135;1879.228
3;1;potencia_minima;02/2024;9147.0132;8144.778;8072.6325
3;1;potencia_maxima;02/2024;9147.0132;8144.778;8072.6325
4;1;potencia_minima;02/2024;483.1739;486.08119999999997;460.6825
4;1;potencia_maxima;02/2024;483.1739;486.08119999999997;460.6825
1;1;potencia_minima;03/2024;6486.7531;4852.775699999999;5006.9775
1;1;potencia_maxima;03/2024;6486.7531;4852.775699999999;5006.9775
2;1;potencia_minima;03/2024;1840.5391000000002;1904.4274;1791.4952
2;1;potencia_maxima;03/2024;1840.5391000000002;1904.4274;1791.4952
3;1;potencia_minima;03/2024;8125.3267;7744.8937000000005;7829.932999999999
3;1;potencia_maxima;03/2024;8125.3267;7744.8937000000005;7829.932999999999
4;1;potencia_minima;03/2024;451.228;453.9216;433.67729999999995
4;1;potencia_maxima;03/2024;451.228;453.9216;433.67729999999995
1;1;potencia_minima;04/2024;7365.3712000000005;6361.6749;6436.0238
1;1;potencia_maxima;04/2024;7365.3712000000005;6361.6749;6436.0238
2;1;potencia_minima;04/2024;1930.2966;1964.7771;1833.5659
2;1;potencia_maxima;04/2024;1930.2966;1964.7771;1833.5659
3;1;potencia_minima;04/2024;8992.264700000002;9643.1388;9175.3317
