idIntercambio;AttMatriz;Iteradores;1;2;3
15;potencia_minima;02/2021;0;0;0
16;potencia_maxima;02/2021;8000;8000;8000
16;potencia_minima;02/2021;0;0;0
17;potencia_minima;02/2021;0;0;0
17;potencia_maxima;02/2021;2500;2500;2500
1;potencia_minima;03/2021;0;0;0
1;potencia_maxima;03/2021;6400;6400;6400
2;potencia_minima;03/2021;0;0;0
2;potencia_maxima;03/2021;8420;8420;8420
3;potencia_maxima;03/2021;10100;10100;10100
3;potencia_minima;03/2021;0;0;0
4;potencia_minima;03/2021;0;0;0
4;potencia_maxima;03/2021;6500;6500;6800
5;potencia_maxima;03/2021;99999;99999;99999
5;potencia_minima;03/2021;0;0;0
6;potencia_minima;03/2021;4069;4018;3580
6;potencia_maxima;03/2021;7000;7000;7000
7;potencia_minima;03/2021;1680;1680;1680
7;potencia_maxima;03/2021;7000;7000;7000
8;potencia_minima;03/2021;0;0;0
8;potencia_maxima;03/2021;99999;99999;99999
9;potencia_minima;03/2021;0;0;0
9;potencia_maxima;03/2021;99999;99999;99999
10;potencia_maxima;03/2021;4500;4500;4500
10;potencia_minima;03/2021;0;0;0
11;potencia_maxima;03/2021;5500;5500;5500
11;potencia_minima;03/2021;0;0;0
12;potencia_minima;03/2021;0;0;0
12;potencia_maxima;03/2021;4000;4000;4000
13;potencia_maxima;03/2021;4000;4000;4000
13;potencia_minima;03/2021;0;0;0
14;potencia_maxima;03/2021;2000;2000;2000
14;potencia_minima;03/2021;0;0;0
15;potencia_maxima;03/2021;2300;2300;2150
15;potencia_minima;03/2021;0;0;0
16;potencia_maxima;03/2021;8000;8000;8000
16;potencia_minima;03/2021;0;0;0
17;potencia_minima;03/2021;0;0;0
17;potencia_maxima;03/2021;2500;2500;2500
1;potencia_minima;04/2021;0;0;0
1;potencia_maxima;04/2021;6400;6400;4500
2;potencia_minima;04/2021;0;0;0
2;potencia_maxima;04/2021;8820;8820;9320
3;potencia_maxima;04/2021;10500;10500;11000
3;potencia_minima;04/2021;0;0;0
4;potencia_minima;04/2021;0;0;0
4;potencia_maxima;04/2021;6500;6500;6800
5;potencia_maxima;04/2021;99999;99999;99999
5;potencia_minima;04/2021;0;0;0
6;potencia_minima;04/2021;3843;3797;3405
6;potencia_maxima;04/2021;7000;7000;7000
7;potencia_minima;04/2021;1680;1680;1680
7;potencia_maxima;04/2021;7000;7000;7000
8;potencia_minima;04/2021;0;0;0
8;potencia_maxima;04/2021;99999;99999;99999
9;potencia_minima;04/2021;0;0;0
9;potencia_maxima;04/2021;99999;99999;99999
10;potencia_maxima;04/2021;4500;4500;4500
10;potencia_minima;04/2021;0;0;0
11;potencia_maxima;04/2021;5500;5500;5500
11;potencia_minima;04/2021;0;0;0
12;potencia_minima;04/2021;0;0;0
12;potencia_maxima;04/2021;4000;4000;4000
13;potencia_maxima;04/2021;4000;4000;4000
13;potencia_minima;04/2021;0;0;0
14;potencia_maxima;04/2021;2000;2000;2000
14;potencia_minima;04/2021;0;0;0
15;potencia_maxima;04/2021;2300;2300;2000
15;potencia_minima;04/2021;0;0;0
16;potencia_maxima;04/2021;8000;8000;8000
16;potencia_minima;04/2021;0;0;0
17;potencia_minima;04/2021;0;0;0
17;potencia_maxima;04/2021;2500;2500;2500
1;potencia_minima;05/2021;0;0;0
1;potencia_maxima;05/2021;7400;8100;8700
2;potencia_minima;05/2021;0;0;0
2;potencia_maxima;05/2021;8820;8820;9320
3;potencia_maxima;05/2021;10500;10500;11000
3;potencia_minima;05/2021;0;0;0
4;potencia_minima;05/2021;0;0;0
4;potencia_maxima;05/2021;6500;6800;6800
5;potencia_maxima;05/2021;99999;99999;99999
5;potencia_minima;05/2021;0;0;0
6;potencia_minima;05/2021;3707;3665;3300
6;potencia_maxima;05/2021;7000;7000;7000
7;potencia_minima;05/2021;1680;1680;1680
7;potencia_maxima;05/2021;7000;7000;7000
8;potencia_minima;05/2021;0;0;0
8;potencia_maxima;05/2021;99999;99999;99999
9;potencia_minima;05/2021;0;0;0
9;potencia_maxima;05/2021;99999;99999;99999
10;potencia_maxima;05/2021;4500;4500;4500
10;potencia_minima;05/2021;0;0;0
11;potencia_maxima;05/2021;5500;5500;5500
11;potencia_minima;05/2021;0;0;0
12;potencia_minima;05/2021;0;0;0
12;potencia_maxima;05/2021;4000;4000;4000
13;potencia_maxima;05/2021;4000;4000;4000
13;potencia_minima;05/2021;0;0;0
14;potencia_maxima;05/2021;2000;2000;2000
14;potencia_minima;05/2021;0;0;0
15;potencia_maxima;05/2021;2300;2150;2000
15;potencia_minima;05/2021;0;0;0
16;potencia_maxima;05/2021;8000;8000;8000
16;potencia_minima;05/2021;0;0;0
17;potencia_minima;05/2021;0;0;0
17;potencia_maxima;05/2021;2500;2500;2500
1;potencia_minima;06/2021;0;0;0
1;potencia_maxima;06/2021;9000;9900;10600
2;potencia_minima;06/2021;0;0;0
2;potencia_maxima;06/2021;8420;8420;8920
3;potencia_maxima;06/2021;10100;10100;10600
3;potencia_minima;06/2021;0;0;0
4;potencia_minima;06/2021;0;0;0
4;potencia_maxima;06/2021;6500;6800;6800
5;potencia_maxima;06/2021;99999;99999;99999
5;potencia_minima;06/2021;0;0;0
6;potencia_minima;06/2021;3832;3787;3396
6;potencia_maxima;06/2021;7000;7000;7000
7;potencia_minima;06/2021;1680;1680;1680
7;potencia_maxima;06/2021;7000;7000;7000
8;potencia_minima;06/2021;0;0;0
8;potencia_maxima;06/2021;99999;99999;99999
9;potencia_minima;06/2021;0;0;0
9;potencia_maxima;06/2021;99999;99999;99999
10;potencia_maxima;06/2021;4500;4500;4500
10;potencia_minima;06/2021;0;0;0
11;potencia_maxima;06/2021;5500;5500;5500
11;potencia_minima;06/2021;0;0;0
12;potencia_minima;06/2021;0;0;0
12;potencia_maxima;06/2021;4000;4000;4000
13;potencia_maxima;06/2021;4000;4000;4000
13;potencia_minima;06/2021;0;0;0
14;potencia_maxima;06/2021;3300;3300;3300
14;potencia_minima;06/2021;0;0;0
15;potencia_maxima;06/2021;3500;3500;3500
15;potencia_minima;06/2021;0;0;0
16;potencia_maxima;06/2021;6500;6000;6000
16;potencia_minima;06/2021;0;0;0
17;potencia_minima;06/2021;0;0;0
17;potencia_maxima;06/2021;2500;2500;2500
1;potencia_minima;07/2021;0;0;0
1;potencia_maxima;07/2021;11100;11500;12000
2;potencia_minima;07/2021;0;0;0
2;potencia_maxima;07/2021;8420;8420;8920
3;potencia_maxima;07/2021;10100;10100;10600
3;potencia_minima;07/2021;0;0;0
4;potencia_minima;07/2021;0;0;0
4;potencia_maxima;07/2021;6500;6800;6800
5;potencia_maxima;07/2021;99999;99999;99999
5;potencia_minima;07/2021;0;0;0
6;potencia_minima;07/2021;3832;3787;3396
6;potencia_maxima;07/2021;7000;7000;7000
